在300秒内击败15名敌人
击败2个火斧丘丘暴徒
挑战过程中，角色倒下次数不多于2次
在180秒内击败15名敌人
击败3个火斧丘丘暴徒
挑战过程中，角色倒下次数不多于1次
在180秒内击败20名敌人
击败4个火斧丘丘暴徒
挑战过程中，没有角色倒下
在300秒内击败20名敌人
击败间隔不得超过25秒
在240秒内击败25名敌人
在180秒内击败30名敌人
击败间隔不得超过20秒
在240秒内击败20名敌人
在210秒内击败20名敌人
在190秒内击败25名敌人
在300秒内击败2名敌人
挑战过程中不离开擂台
在240秒内击败3名敌人
在135秒内击败5名敌人
在300秒内击败1名敌人
在240秒内击败1名敌人
在110秒内击败1名敌人
在300秒内击败25名敌人
在240秒内击败30名敌人
在150秒内击败30名敌人
在90秒内击败1名敌人
111142;15,300
111143;0,25
111144;0,2
111142;20,240
111144;0,1
111142;25,180
111165;0
111142;20,180
111145;0,4
111102;15,300
111103;0,2
111104;0,2
111102;20,240
111103;0,3
111104;0,1
111102;25,180
111102;20,180
111105;0,2
111132;15,300
111133;0,1
111134;0,2
111132;20,240
111134;0,1
111132;25,180
111133;0,2
111132;20,130
111135;0,2
111112;15,300
111113;0,30
111114;0,2
111112;20,240
111114;0,1
111112;25,180
111112;30,150
111113;0,25
111162;2,300
111164;0,2
111162;3,240
111164;0,1
111162;5,180
111162;5,150
111122;15,300
111123;0,1
111124;0,2
111122;20,240
111124;0,1
111122;25,180
111123;0,2
111122;20,100
111125;0,2
111152;1,300
111154;0,2
111152;1,240
111154;0,1
111152;2,180
111152;2,100
